tweet,label
""" momma said no pussy cats inside my doghouse """,not profane
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",profane
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",profane
""" pimps up pimps up hoes down "" Future voice",profane
""" post a picture of that pussy get 200 likes """,profane
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",profane
""" quick piece of pussy call it a drive by """,profane
""" running round here like some brand new pussy thats bout to get fucked """,profane
""" these bitches even worst they'll send them guys for you """,profane
""" these hoes like niggas that spend money not talk bout it """,profane
""" we dont trust these niggas all these bitches """,profane
""" yall niggas b cuffing hoes cause yall aint never have bitches """,profane
""" you dodge a bullet "" &#128517; &#8220;: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",profane
""" young Pill Chamberlain these bitches love my music """,profane
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;: Teanna Trump probably cleaner than most of these twitter hoes but.........""",profane
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;: Gay niggas couldn't wait to act like bitches tonight""",profane
"""&#128514;&#128514;&#128514;: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT : He a bitch you should do it""",profane
"""&amp; he's gone always be a hoe""",profane
"""...Son of a bitch took my Tic Tacs."" I like this movie.",profane
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",profane
""": I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",profane
""": I'm a fucking fag they said""",profane
""": Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",profane
""": -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",not profane
""": Have ya ever asked your bitch for other bitches - kanye voice"" Yes",profane
""": How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",profane
""": http://t.co/3gzUpfuMev"" woof woof and hot soles",not profane
""": Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",not profane
""": bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",profane
""": Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",profane
""": Why the eggplant emoji doe?""y he say she looked like scream lmao",not profane
""": Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",profane
""": Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",profane
""": #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",profane
""": Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""",profane
""": baby monkey bathtime http://t.co/7KPWAdLF0R"" Awwwwe! This is soooo ADORABLE!",not profane
""": &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",profane
""": u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",profane
""": http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",profane
""": ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",profane
""": The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",profane
""": &#128175;&#128175;&#128175; RT Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",profane
""": Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",profane
""": Wow. RT I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",profane
""": Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",profane
""": queer"" gaywad",profane
""": faggot read my tweets after dat k"" it wasn't even funny lol",profane
""": This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",profane
""": I been kidnapped yo bitch""",profane
""": alsarabsss"" hes a beaner smh you can tell hes a mexican",profane
""": happy birthday nigs"" Thanks yo",profane
""": when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",profane
""": "": that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",profane
""": What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",profane
""": Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",profane
""": Going back to school sucks more dick than the hoes who attend it.""",profane
""": On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",profane
""": how come you never bring me food"" i dont have a car retard",profane
""": If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",profane
""": How bout them Cowboys!!!!"" Shutup pussy",profane
""": LMAOOOOOOOOOOO this nigga http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",profane
""": girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",profane
""": Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",profane
""": Harlem shake is just an excuse to go full retard for 30 seconds.""",profane
""": amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",profane
""": having one loyal female is wayyyyy better than having hoes , idc &#128175;""",profane
""": Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;"""""""" &#128533;",profane
""": Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",profane
""": What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",profane
""": im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",profane
""": you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",profane
""": The fuck be wrong with these bitches?"" Nobody knows",profane
""": Yall shut up:p"" make me bitch",profane
""": I hate a ""I'm pregnant"" type of bitch.""",profane
""": Got bitches in the DM but I don't ever read'em"" which is y your top 3",profane
""": Baseball season for the win. #Yankees"" This is where the love started",not profane
""": Little stupid as bitch I don't fuck with yoooooouuuu..""",profane
""": she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",profane
""": I'm an early bird and I'm a night owl, so I'm wise and have worms.""",not profane
""": Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",not profane
""": Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221; They *are* fairy tale creatures.",not profane
""": Aw."" ...fag, don't tweet ""aw"" to me lol",profane
""": As long as the Lakers trash from now on, I could careless. And that's real."". CC: hahaha",not profane
""": I didn't say anything tho"" kiss me then faggot",profane
""": this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",not profane
""": I could go for a fat ass bitch on my lap"" same",profane
""": 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",profane
""": Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",profane
""": &#8220;: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",profane
""": These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",profane
""": Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",profane
""": Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",profane
""": I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",profane
""": If she kiss u with her eyes open watch that bitch!""lmfao",profane
""": You a woulda coulda shoulda ass hoe &#128563;&#128586;""",profane
""": Happy Bday Bitch Ass Nigga ""preciate that bitch roll up!",profane
""": used to send that bitch up""",profane
""": Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",profane
""": nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",profane
""": Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",profane
""": This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",not profane
""": I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",profane
""": Being single isn't an excuse to be a hoe.""",profane
""": White boy power bitch"" black power bitch",profane
""": Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",profane
""": bitch where u been"" Around the world and back. Where you been?",profane
""": if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by *",profane
""": #oomf is soooo cute. But he probably has hoes on him a lot.""",profane
""": In every cartoon theirs alway a saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",profane
""": Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",not profane
""": I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",profane
""": If you dressed up as a cat for Halloween you are basic."" ...or a pussy",profane
""": Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" get on it Katie&lt;3",profane
""": stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",profane
""": ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",profane
""": Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",profane
""": You're not a man if you refer to every girl as a bitch""",profane
""": Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",profane
""": Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",not profane
""": io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",profane
""": naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",profane
""": Ol dirty foot ass bitches.."" this was too funny to me.",profane
""": that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",profane
""": Don't got time for bitches to be actin iffy.""",profane
""" #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",not profane
""": These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl"" Smfh &amp; wonder why nobody decent wants them",profane
""": Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",profane
""": dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",profane
""": shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",profane
""": Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",profane
""": You love these hoes more then money wats wrong these niggas""",profane
""": A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",profane
""": Easy cum, easy hoe"" That's a fact !",profane
""": Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",profane
""": Wish I had a bae &#128533;"" You got all the hoes tho",profane
""": Fuck twerking bitch can you cook ?""",profane
""": bitch wtf"" http://t.co/DaSmycxODB",profane
""": &#8220;: "": Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",profane
""": Lmao fucking snake bitches"" @ em",profane
""": Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",profane
""": Stay tuned to for an update on the report that 1B will be out 8-10 weeks"" #bum",not profane
""": &#8220;: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""",not profane
""": Oregon chokes every year get off the field trash ass program"" RFT",profane
""": Def not cowboy lol RT : Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",profane
""": LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",profane
""": How could u do this to me bitch"" potent",profane
""": http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",not profane
""": http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",not profane
""": http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",not profane
""": nah fam I gotta cheat with the hoes"" depends on the female i feel",profane
""": &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",not profane
""": This new twitter is confusing the shit out of me."" Go back to south america bitch",profane
""": Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",profane
""": but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",profane
""": bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",profane
""": I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",profane
""": 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",not profane
""": ""Stay beautiful you bitch""""",profane
""": #WutKinda r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",profane
""": Money getting taller and bitches getting blurry""",profane
""": I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",profane
""": Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" I meant to do this one. Smh.",profane
""": ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT"" Lmfao",profane
""": People always asking me what I'm mixed with."" She a bad asian bitch lol",profane
""": Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",profane
""": &#8220;: Fosters home for imaginary trash&#8221; WHOA CHILL"" that show was everything tf",not profane
""": I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",profane
""": &#8220;: Stop bringing weird niggers into my mentions! &#8221; http://t.co/cussDJesRK""",profane
""": We don't love these hoes &#128080;&#128581;""",profane
""": If yo girl cant have homeboys you a ol weak bitch ass nigga!""",profane
""": I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",profane
""": Quote this tweet with your favorite animal.""pussy",profane
""": I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",profane
""": Andrewbryant: Poff has double vision after 2 beers Poff: ... Double pussy &#128526;"" smh",profane
""": When bitches TWERK on the computer.... ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;""""",profane
""": &#8220;: &#8220;: Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!",profane
""": 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",not profane
""": These bitches don't care they just play that role.""",profane
""": It took a while for you to find me, but I was hiding In the lime tree."" dis bitch in da wrong tree bro.",profane
""": Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",profane
""": inna di ghetto!!!"" You alone lmaoo",not profane
""": &#8220;: hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know",not profane
""": bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",profane
""": Fat hoes get chose"" lol",profane
""": #hoesaintloyal"" well they're hoes,no one expects them to be loyal",profane
""": ol bitch ass"" http://t.co/AmcOinY0wG",profane
""": Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",profane
""": Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",profane
""" : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory"" Me: *rolls on the floor, laughing*",profane
""": ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",profane
""": @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't",profane
""": If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!",profane
""": These catfish hoes thinkin they slick.. But niggas catching on &#128524;""",profane
""": Can't worry about a bitch that ain't worried bout me"" #real",profane
""": Side hoes are for insecure niggas that can't handle a real one.""",profane
""": &#128514;&#128514;&#128514;&#128514;RT : Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;",profane
""": My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;""",profane
""": i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;",profane
""": Dese hoes be LYIN to all of us nigga""",profane
""": http://t.co/4b427dQZCV"" oh yeah fuck that bitch",profane
""": Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",not profane
""": USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch",not profane
""": Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy",profane
""": Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad",not profane
""": I ain't sharing no bitch if you mines you mines &#128175;""",profane
""": money only impress the simple broke bitches""",profane
""": #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht",profane
""": tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;",not profane
""": I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",not profane
""": These hoes is crazy""",profane
""": You ain't ever gonna be a slice bitch."" Kevin hart. (:",profane
""": Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch.",profane
""": I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",profane
""": #NewSATQuestions Yeah bitch, yeah bitch, call me _______: a.) Maybe b.) Steve-O c.) Later d.) Jesse Pinkman""",profane
""": Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right",profane
""": Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",profane
""": y'all come through the front.""bitch I ain't coming",profane
""": faggot bitch"" http://t.co/2HyyAbk4eH",profane
""": yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up ""i work 2-5",profane
""": http://t.co/BYj1HOyhmG"" this scally lad would get it",not profane
""": #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",profane
""": Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI",profane
""": &#8220;: I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever.",profane
""": &#8220;: "": &#8220;: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;&#8221;them hoes taste like meds""&#127815;&#127815;&#127868;",profane
""": &#8220;: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;",profane
""": BOBBY BITCH-by be getting me live as fuck"" hell yea i play that hoe before my workout",profane
""": Yo bitch is Gucci Mane RT : My bitch a stoner &#128175;&#128175; http://t.co/lt9LIJjpg9""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",profane
""": I can ride your bitch with no handle bars""",profane
""": And if you ain't a hoe get up out my traphoussseeeee""",profane
""": 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man",not profane
""": These harbor bitches are all ""Party Bus hoes"""" Lol all?",profane
""": pussy"" love it",profane
""": Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http://t.co/533fLbvWqh"" bitchy promo",profane
""": On my way to fuck your bitch https://t.co/4lMTFNL2iy"" LMFAO KITTYCOPTER",profane
""": A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd""",not profane
""": "": Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0"" &#128128;&#128128;&#128128;"" do I gotta get Ike avi on this bitch ?",profane
""": "": Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?",profane
""": whys this bitch boosting herself http://t.co/uOd2f5WtKV"" Her size isn't exactly the most healthy tho",profane
""": bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!",profane
""": Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco",profane
""": I'm making marack my girlfriend ."" aye b you pullin hoes just like o taught you",profane
""": Bruno fag boy"" you love me.",profane
""": &#8220;: I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw"" This why we always beefing &#128514;",profane
""": Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",not profane
""": &#8220;: Don't take advantage of a nice person&#8221;@ hoes""@ everyjuan",profane
""": Happy birthday bitch nigga "" Thanks pal",profane
""": Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",profane
""": cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",profane
""": ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;",profane
""": I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake..",profane
""" My pussy still fresh"" &lt;----- something stank girls say.",profane
""": Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week",profane
""": yeah Texans are so much better you fucking retard"" I see that you're mad about this.",profane
""": Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here",profane
""": There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;",profane
""": I hate when boys deny that they have bitches &#128080;&#128553;"" smh",profane
""": Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!",profane
""": Im a boss ass bitch"" ...that needs to sit in a corner",profane
""": He's a hoe , I can't""",profane
""": Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets",profane
""": bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;""",profane
""": why do my friends hate me"" because you a ratchet hoe..",profane
""": No love for these fuck niggas"" hoes*",profane
""": Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers.",profane
""": Sniff http://t.co/FHHbBRMYBN"" perved up scally lad. fuck yeah.",profane
""": These bitches love Sosa""",profane
""": &#8220;: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh",profane
""": What should I name my cat, ideas?"" Mr pussy",profane
""": http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally.",profane
""": u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me",profane
""": Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe",profane
""": 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;",profane
""": is bored supposed to be cute, you faggot?"" Sometimes",profane
""": One mans trash &#128686; is another mans treasure &#127942;""",not profane
""": I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype",profane
""": lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",profane
""": god teeth , gold chain white bitches , cocaine""",profane
""": Its me hoe, its me hoe&#128129;"" shhhhh",profane
""": In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe.",profane
""": I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie",profane
""": hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &#128293;&#128293;&#128293;"" ON. MY. SOUL!",profane
""": Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha",not profane
""": yall both gimped up??"" Ain't tht a bitch huh lol",profane
""": "": Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof",not profane
""": oh my god I love Victoria Mitchell"" all my bitches love me",profane
""": That long distance shit wack I knew the bitch was cheating""- uh oh",profane
""": HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http://t.co/JZKkiVUVjC"" no bitches smh",profane
""": they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine""",profane
""": Roses are red and violets are blue and niggers are black, you know that's true.""",profane
""": Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals""",not profane
""": But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded",profane
""": a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby",not profane
""": I'm not even shy stfu"" kikis mom: Hi angelique Angelique: Smiles *Dips cracker in soup*",profane
""": Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" &#128514;&#128514;&#128514;&#128514;",profane
""": Karma is a bitch #Damn #GodProtectsHisAngels &#128588;"" *sips tea*",profane
""": Fuckin hot gym pussy http://t.co/ZVYmcXQuTA"" fuck yeah",profane
""": Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl""",not profane
""": You can call me Fireman cause I turn the hoes on.""",profane
""": I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God",profane
""": Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that",profane
